id,categoria,titulo,imagen_urls
crawler2_1,auto,Volkswagen Vento 1.4 Comfortline 150cv At,"https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_724395-MLA28402324106_102018-O.jpg,https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_669076-MLA28402283424_102018-O.jpg,https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_682962-MLA28402288907_102018-O.jpg,https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_731986-MLA28402284422_102018-O.jpg,https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_779051-MLA28402285917_102018-O.jpg,https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_646394-MLA28402324115_102018-O.jpg,https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_912926-MLA28402296310_102018-O.jpg,https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_875087-MLA28402324117_102018-O.jpg,https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_772137-MLA28402283434_102018-O.jpg,https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_965805-MLA28402292364_102018-O.jpg,https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_925949-MLA28402294845_102018-O.jpg,https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_880622-MLA28402281968_102018-O.jpg,https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_619373-MLA28402290392_102018-O.jpg,https://http2.mlstatic.com/nuevo-volkswagen-vento-0km-comfortline-2019-linea-nueva-vw-D_NQ_NP_825833-MLA28402294865_102018-O.jpg"
crawler2_2,auto,Fiat Cronos 1.3 Gse Drive Pack Conectividad,"https://http2.mlstatic.com/fiat-cronos-tomo-volkswagen-gol-fiat-duna-fiat-siena-206-D_NQ_NP_624151-MLA28100122091_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-fiat-fiat-D_NQ_NP_951119-MLA27702803820_072018-O.jpg,https://http2.mlstatic.com/fiat-fiat-fiat-cronos-D_NQ_NP_839434-MLA27702823611_072018-O.jpg,https://http2.mlstatic.com/fiat-cronos-tomo-volkswagen-gol-fiat-duna-fiat-siena-206-D_NQ_NP_631890-MLA27702830091_072018-O.jpg,https://http2.mlstatic.com/fiat-cronos-fiat-fiat-D_NQ_NP_832865-MLA27702810765_072018-O.jpg,https://http2.mlstatic.com/fiat-fiat-fiat-cronos-D_NQ_NP_758541-MLA27702817673_072018-O.jpg,https://http2.mlstatic.com/fiat-cronos-tomo-volkswagen-gol-fiat-duna-fiat-siena-206-D_NQ_NP_754577-MLA27702834067_072018-O.jpg,https://http2.mlstatic.com/fiat-cronos-fiat-fiat-D_NQ_NP_660453-MLA27702831094_072018-O.jpg,https://http2.mlstatic.com/fiat-fiat-fiat-cronos-D_NQ_NP_895137-MLA27702818718_072018-O.jpg,https://http2.mlstatic.com/fiat-cronos-tomo-volkswagen-gol-fiat-duna-fiat-siena-206-D_NQ_NP_904737-MLA27702810787_072018-O.jpg,https://http2.mlstatic.com/fiat-cronos-fiat-fiat-D_NQ_NP_809923-MLA27702817177_072018-O.jpg,https://http2.mlstatic.com/fiat-fiat-fiat-cronos-D_NQ_NP_825508-MLA27702798365_072018-O.jpg,https://http2.mlstatic.com/fiat-cronos-tomo-volkswagen-gol-fiat-duna-fiat-siena-206-D_NQ_NP_610070-MLA27702830065_072018-O.jpg,https://http2.mlstatic.com/fiat-cronos-fiat-fiat-D_NQ_NP_886051-MLA27702813750_072018-O.jpg"
crawler2_3,auto,Fiat Tipo 1.6 Etorq Easy,"https://http2.mlstatic.com/fiat-tipo-0km-nuevo-16-mt-etorq-easy-full-autos-nuevos-nm16-D_NQ_NP_996395-MLA26976887884_032018-O.jpg,https://http2.mlstatic.com/fiat-tipo-autos-D_NQ_NP_780796-MLA26976885364_032018-O.jpg,https://http2.mlstatic.com/tipo-autos-fiat-D_NQ_NP_740446-MLA26976871499_032018-O.jpg,https://http2.mlstatic.com/fiat-tipo-0km-nuevo-16-mt-etorq-easy-full-autos-nuevos-nm16-D_NQ_NP_854639-MLA26976887851_032018-O.jpg,https://http2.mlstatic.com/fiat-tipo-autos-D_NQ_NP_621983-MLA27466981110_052018-O.jpg,https://http2.mlstatic.com/tipo-autos-fiat-D_NQ_NP_684351-MLA26976891894_032018-O.jpg,https://http2.mlstatic.com/fiat-tipo-0km-nuevo-16-mt-etorq-easy-full-autos-nuevos-nm16-D_NQ_NP_926923-MLA26976911176_032018-O.jpg,https://http2.mlstatic.com/fiat-tipo-autos-D_NQ_NP_609664-MLA26976911164_032018-O.jpg,https://http2.mlstatic.com/tipo-autos-fiat-D_NQ_NP_970346-MLA26976901196_032018-O.jpg,https://http2.mlstatic.com/fiat-tipo-0km-nuevo-16-mt-etorq-easy-full-autos-nuevos-nm16-D_NQ_NP_855277-MLA26976887848_032018-O.jpg,https://http2.mlstatic.com/fiat-tipo-autos-D_NQ_NP_991246-MLA26976884441_032018-O.jpg,https://http2.mlstatic.com/tipo-autos-fiat-D_NQ_NP_697382-MLA26976906234_032018-O.jpg,https://http2.mlstatic.com/fiat-tipo-0km-nuevo-16-mt-etorq-easy-full-autos-nuevos-nm16-D_NQ_NP_920862-MLA26976919097_032018-O.jpg,https://http2.mlstatic.com/fiat-tipo-autos-D_NQ_NP_755333-MLA26976921033_032018-O.jpg"
crawler2_4,auto,Fiat Cronos 1.3 Gse Drive Pack Conectividad,"https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_764379-MLA28197893242_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_887557-MLA28197882805_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_932230-MLA28197859962_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_727433-MLA28197881334_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_935176-MLA28197882813_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_826651-MLA28197907140_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_848700-MLA28197917065_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_626839-MLA28197861474_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_761464-MLA28197895234_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_821446-MLA28197876356_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_946295-MLA28197879833_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_676946-MLA28197893249_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_611742-MLA28197917070_092018-O.jpg,https://http2.mlstatic.com/fiat-cronos-13-gse-drive-pack-2018-0km-precisiion-mar-D_NQ_NP_737861-MLA28197862455_092018-O.jpg"
crawler2_5,auto,Fiat Tipo 1.6 Etorq Easy,"https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_813401-MLA28373301613_102018-O.jpg,https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_882185-MLA28373279178_102018-O.jpg,https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_830470-MLA28373301611_102018-O.jpg,https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_704191-MLA28373333525_102018-O.jpg,https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_813952-MLA28373280959_102018-O.jpg,https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_976723-MLA28373298626_102018-O.jpg,https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_855511-MLA28373272199_102018-O.jpg,https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_953192-MLA28373330031_102018-O.jpg,https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_889839-MLA28373284668_102018-O.jpg,https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_915451-MLA28373192491_102018-O.jpg,https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_923832-MLA28373244272_102018-O.jpg,https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_685724-MLA28373304105_102018-O.jpg,https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_685862-MLA28373340011_102018-O.jpg,https://http2.mlstatic.com/fiat-tipo-16-etorq-easy-0km-2018-pop-full-nuevo-no-siena-D_NQ_NP_876096-MLA28373272475_102018-O.jpg"
crawler2_6,auto,Volkswagen Vento 2.5 Luxury 170cv,"https://http2.mlstatic.com/volkswagen-vento-25-luxury-170cv-2014-rpm-moviles-D_NQ_NP_688525-MLA27847064405_072018-O.jpg,https://http2.mlstatic.com/volkswagen-vento-25-luxury-170cv-2014-rpm-moviles-D_NQ_NP_938545-MLA27700332380_072018-O.jpg,https://http2.mlstatic.com/volkswagen-vento-25-luxury-170cv-2014-rpm-moviles-D_NQ_NP_833352-MLA27700332382_072018-O.jpg,https://http2.mlstatic.com/volkswagen-vento-25-luxury-170cv-2014-rpm-moviles-D_NQ_NP_661907-MLA27700359009_072018-O.jpg,https://http2.mlstatic.com/volkswagen-vento-25-luxury-170cv-2014-rpm-moviles-D_NQ_NP_808893-MLA27700343221_072018-O.jpg,https://http2.mlstatic.com/volkswagen-vento-25-luxury-170cv-2014-rpm-moviles-D_NQ_NP_648752-MLA27700340782_072018-O.jpg,https://http2.mlstatic.com/volkswagen-vento-25-luxury-170cv-2014-rpm-moviles-D_NQ_NP_917412-MLA27700354575_072018-O.jpg,https://http2.mlstatic.com/volkswagen-vento-25-luxury-170cv-2014-rpm-moviles-D_NQ_NP_886181-MLA27700342207_072018-O.jpg,https://http2.mlstatic.com/volkswagen-vento-25-luxury-170cv-2014-rpm-moviles-D_NQ_NP_898831-MLA27700355075_072018-O.jpg,https://http2.mlstatic.com/volkswagen-vento-25-luxury-170cv-2014-rpm-moviles-D_NQ_NP_682382-MLA27693370893_072018-O.jpg"
crawler2_7,auto,Chevrolet Prisma 1.4 Ltz 98cv,"https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_942458-MLA27279604290_052018-O.jpg,https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_684927-MLA27279618015_052018-O.jpg,https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_633179-MLA26491298789_122017-O.jpg,https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_698897-MLA26491303606_122017-O.jpg,https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_988545-MLA26491293998_122017-O.jpg,https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_972135-MLA26491297440_122017-O.jpg,https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_892984-MLA26491298877_122017-O.jpg,https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_836797-MLA27279601840_052018-O.jpg,https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_833364-MLA26491297484_122017-O.jpg,https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_831312-MLA27279593486_052018-O.jpg,https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_623192-MLA27279606256_052018-O.jpg,https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_958734-MLA27279598387_052018-O.jpg,https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_845595-MLA27279598390_052018-O.jpg,https://http2.mlstatic.com/chevrolet-prisma-ltz-4p-reserva-y-congela-el-precio-jl-D_NQ_NP_779814-MLA27279609207_052018-O.jpg"
crawler2_8,auto,Citroën C4 VTI 115 LIVE,"https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_803410-MLA27526008599_062018-O.jpg,https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_604773-MLA28499254734_102018-O.jpg,https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_703037-MLA27526013167_062018-O.jpg,https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_678840-MLA27525988322_062018-O.jpg,https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_602399-MLA27525990299_062018-O.jpg,https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_808910-MLA27526000690_062018-O.jpg,https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_719361-MLA27526007298_062018-O.jpg,https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_831087-MLA27526001675_062018-O.jpg,https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_783561-MLA27525982973_062018-O.jpg,https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_928911-MLA27793240611_072018-O.jpg,https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_617009-MLA27793237126_072018-O.jpg,https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_912828-MLA27793226760_072018-O.jpg,https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_753266-MLA27159808060_042018-O.jpg,https://http2.mlstatic.com/citron-c4-vti-115-live6-D_NQ_NP_674258-MLA27159804122_042018-O.jpg"
crawler2_9,auto,Volkswagen Voyage 1.6 Trenline 101cv,"https://http2.mlstatic.com/volkswagen-voyage-16-trendline-2017-rpm-moviles-D_NQ_NP_731098-MLA27983040151_082018-O.jpg,https://http2.mlstatic.com/volkswagen-voyage-16-trendline-2017-rpm-moviles-D_NQ_NP_987281-MLA27983031720_082018-O.jpg,https://http2.mlstatic.com/volkswagen-voyage-16-trendline-2017-rpm-moviles-D_NQ_NP_653442-MLA27983051568_082018-O.jpg,https://http2.mlstatic.com/volkswagen-voyage-16-trendline-2017-rpm-moviles-D_NQ_NP_797244-MLA27983052072_082018-O.jpg,https://http2.mlstatic.com/volkswagen-voyage-16-trendline-2017-rpm-moviles-D_NQ_NP_737836-MLA27983021278_082018-O.jpg,https://http2.mlstatic.com/volkswagen-voyage-16-trendline-2017-rpm-moviles-D_NQ_NP_609912-MLA27983032226_082018-O.jpg,https://http2.mlstatic.com/volkswagen-voyage-16-trendline-2017-rpm-moviles-D_NQ_NP_769208-MLA27983040164_082018-O.jpg,https://http2.mlstatic.com/volkswagen-voyage-16-trendline-2017-rpm-moviles-D_NQ_NP_660904-MLA27983032229_082018-O.jpg,https://http2.mlstatic.com/volkswagen-voyage-16-trendline-2017-rpm-moviles-D_NQ_NP_615878-MLA27983040171_082018-O.jpg,https://http2.mlstatic.com/volkswagen-voyage-16-trendline-2017-rpm-moviles-D_NQ_NP_726688-MLA27611820828_062018-O.jpg"
crawler2_10,auto,Renault Logan Privilege,"https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_985044-MLA26970062590_032018-O.jpg,https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_838322-MLA26970060656_032018-O.jpg,https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_766953-MLA26970056243_032018-O.jpg,https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_688480-MLA26970068017_032018-O.jpg,https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_643872-MLA26970068034_032018-O.jpg,https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_767159-MLA26970051251_032018-O.jpg,https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_845163-MLA26970061798_032018-O.jpg,https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_981851-MLA26970051829_032018-O.jpg,https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_648608-MLA26970061707_032018-O.jpg,https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_789265-MLA26970057328_032018-O.jpg,https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_856527-MLA26970068087_032018-O.jpg,https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_720964-MLA26970062734_032018-O.jpg,https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_783790-MLA26970074512_032018-O.jpg,https://http2.mlstatic.com/renault-logan-16-privilege-105cv-si-D_NQ_NP_991780-MLA26970068151_032018-O.jpg"
